"","StationID","EventCode","SampleYear","VesselName","GearCode","Tow.Type","TrawlPreformance","HaulDate","EQ.Latitude","EQ.Longitude","Haulback.Latitude","Haulback.Longitude","AvgNetHorizontalOpening","AvgNetVerticalOpening","MWO","Notes","HaversineDistance2","Effort_area_km2"
"162",20020201010,3,2002,"Northwest Explorer","400601","S","G/S","14-Sep-02",53.9817,-177.5083,53.9833,-177.3917,43.89,18.28,"384.048","Adaptive sunrise set, no oceanography, no weather data",7.62611887,0.3347
"163",20020201011,3,2002,"Northwest Explorer","400601","S","G/S","14-Sep-02",54.025,-177.47,54.075,-177.5633,45.72,14.63,"329.184","comparative trawl with Kaiyo maru, no weather data",8.246630279,0.377
"164",20020201012,3,2002,"Northwest Explorer","400601","S","G/S","15-Sep-02",54.9217,-177.3,54.9617,-177.4133,47.54,14.63,"356.616","comparative trawl with Kaiyo maru, no weather data",8.494231602,0.4038
"165",20020201013,3,2002,"Northwest Explorer","400601","S","G/S","16-Sep-02",55.0017,-175.0433,55.0533,-174.9717,40.23,21.94,"320.04","moved station from original coordinates, comparative trawl with Kaiyo maru and TINRO, significant sea state (30knts, >16ft), no oceanography",7.331151233,0.2949
"166",20020201014,3,2002,"Northwest Explorer","400601","S","G/S","16-Sep-02",55.0015,-172.4963,55.0117,-172.64,45.72,18.28,"438.912","comparative trawl with TINRO, no weather data, trawl distance seems long (9.2km) start stop position, time, match original datasheets.",9.233440821,0.4222
"167",20020201015,3,2002,"Northwest Explorer","400601","S","G/S","17-Sep-02",54.0065,-172.5083,54,-172.6283,47.54,18.28,"438.912","comparative trawl with TINRO, no weather data",7.875682641,0.3744
"168",20020201016,3,2002,"Northwest Explorer","400601","S","G/S","17-Sep-02",53.5132,-172.5005,53.5017,-172.6183,43.89,21.94,"329.184","1st diel station, comparative trawl with TINRO, just prior to sunrise, no weather data",7.894339733,0.3465
"169",20020201017,3,2002,"Northwest Explorer","400601","S","G/S","17-Sep-02",53.5037,-172.506,53.505,-172.6233,47.54,20.11,"420.624","2nd diel station, comparative trawl with TINRO, daylight",7.758933588,0.3689
"170",20020201018,3,2002,"Northwest Explorer","400601","S","G/S","18-Sep-02",53.4878,-172.525,53.4918,-172.64,47.54,18.28,"365.76","3rd diel station, comparative trawl with TINRO, daylight",7.621077843,0.3623
"171",20020201019,3,2002,"Northwest Explorer","400601","S","G/S","18-Sep-02",53.5158,-172.4733,53.46,-172.5483,43.89,12.8,"365.76","4th diel station, comparative trawl with TINRO, night",7.944794296,0.3487
"172",20020201020,3,2002,"Northwest Explorer","400601","S","G/S","20-Sep-02",51.3198,-178.3632,51.2717,-178.325,47.54,12.8,"438.912","strong current, net fouled on first attempt, no weather data",5.971677837,0.2839
"174",20020201022,3,2002,"Northwest Explorer","400601","S","G/S","21-Sep-02",51.8622,-172.985,51.8133,-173.04,47.54,14.63,"475.488","no weather data",6.621591521,0.3148
"175",20020201023,3,2002,"Northwest Explorer","400601","S","G/S","22-Sep-02",54.1733,-166.8035,54.1367,-166.88,45.72,20.11,"402.336","no weather data",6.432440377,0.2941
"178",20020201026,3,2002,"Northwest Explorer","400601","S","G/S","24-Sep-02",56.0033,-170.01,55.9983,-169.9083,47.54,16.45,"457.2","winch wire fouled on bongo set, trawl during sunrise, no weather data",6.347918911,0.3018
"182",20020201030,3,2002,"Northwest Explorer","400601","S","G/S","29-Sep-02",58.6855,-174.9867,58.6883,-174.845,47.54,21.94,"356.616","Adaptive slope set at Zhemchug canyon",8.194715868,0.3896
"184",20020201032,3,2002,"Northwest Explorer","400601","S","G/S","30-Sep-02",58.985,-177.49,58.9883,-177.3567,47.54,20.11,"384.048","darkness during setting and 1/2 of set, dawn during trawl. Trawl hauled in during daylight.",7.645821617,0.3635
"195",20020201043,3,2002,"Northwest Explorer","400601","S","G/S","05-Oct-02",62.7183,-170.0117,62.7833,-170.015,45.72,20.11,"329.184","Added juvenile chum set, setting and hauling before sunset.",7.22963413,0.3305
"203",20030101007,3,2003,"Seastorm","400601","S","G/S","23-Aug-03",63.9808,-168.0103,64.0197,-167.9845,65.84,10.42,"329.18","",4.50460019,0.2966
"206",20030101010,3,2003,"Seastorm","400601","S","G/S","23-Aug-03",64.0037,-170.4455,63.9985,-170.5307,62.18,9.51,"329.18","",4.192946359,0.2607
"207",20030101011,3,2003,"Seastorm","400601","S","G/S","23-Aug-03",64.0063,-170.948,63.9938,-171.035,62.18,9.51,"329.18","",4.462753549,0.2775
"208",20030101012,3,2003,"Seastorm","400601","S","G/S","23-Aug-03",64.0442,-171.425,64.0367,-171.5097,64.01,10.97,"329.18","",4.206204219,0.2692
"209",20030101013,3,2003,"Seastorm","400601","S","G/S","24-Aug-03",65.0205,-169.4775,64.9882,-169.5145,65.47,10.24,"329.18","",3.990219099,0.2612
"210",20030101014,3,2003,"Seastorm","400601","S","G/S","24-Aug-03",65.03,-168.9798,64.997,-169.0025,62.18,10.06,"329.18","Lots of whales in the area during set. 6-8",3.821199853,0.2376
"211",20030101015,3,2003,"Seastorm","400601","S","G/S","24-Aug-03",65.0233,-168.6558,64.9898,-168.6743,62.18,10.06,"329.18","",3.825092095,0.2378
"213",20030101017,3,2003,"Seastorm","400601","S","G/S","25-Aug-03",66.0167,-168.4578,65.9948,-168.5105,62.18,9.69,"329.18","Fishing with seas.",3.407114604,0.2119
"217",20030101021,3,2003,"Seastorm","400601","S","G/S","26-Aug-03",67.0188,-164.9715,66.9868,-165.0188,59.98,10.79,"329.18","No TSG temps written in log. 3000 Humpy Shrimp in catch.",4.108941227,0.2465
"218",20030101022,3,2003,"Seastorm","400601","S","G/S","26-Aug-03",67.0202,-165.483,66.9838,-165.5107,62.18,9.88,"329.18","",4.222608874,0.2626
"219",20030101023,3,2003,"Seastorm","400601","S","G/S","27-Aug-03",67.017,-166.0007,66.978,-166.0047,62.18,10.06,"329.18","No TSG temps in log.",4.340090633,0.2699
"220",20030101024,3,2003,"Seastorm","400601","S","G/S","27-Aug-03",67.0192,-166.478,66.9837,-166.5093,65.84,8.6,"329.18","shrimp zoea in bongos",4.175079437,0.2749
"221",20030101025,3,2003,"Seastorm","400601","S","G/S","27-Aug-03",68.0205,-166.05,67.993,-166.1283,62.18,11.52,"329.18","",4.470120887,0.278
"223",20030101027,3,2003,"Seastorm","400601","S","G/S","27-Aug-03",68.0173,-166.9663,67.9865,-167.0313,60.35,10.61,"329.18","",4.36564629,0.2635
"237",20030101041,3,2003,"Seastorm","400601","S","G/S","04-Sep-03",54.522,-166.0058,54.488,-165.994,60.35,12.98,"331.01","",3.856630977,0.2327
"347",20040101001,3,2004,"Seastorm","400601","S","G/S","14-Aug-04",55.0242,-164.9985,55.0627,-164.9952,60.35,14.63,"347.47","TSG not functioning. ST from head rope sensor.",4.286170894,0.2587
"381",20040101035,3,2004,"Seastorm","400601","S","G/S","25-Aug-04",55.51,-163.9863,55.5323,-163.9437,62.18,14.63,"382.22","",3.652329522,0.2271
"382",20040101036,3,2004,"Seastorm","400601","S","G/S","26-Aug-04",55.5098,-164.958,55.528,-164.8993,60.35,14.63,"351.13","",4.213122722,0.2543
"383",20040101037,3,2004,"Seastorm","400601","S","G/S","26-Aug-04",56.0058,-164.9658,56.0275,-164.9203,61.26,14.26,"351.13","",3.717464499,0.2277
"402",20040101056,3,2004,"Seastorm","400601","S","G/S","30-Aug-04",55.0157,-166.035,55.0355,-166.0847,62.18,14.26,"382.22","",3.857745289,0.2399
"403",20040101057,3,2004,"Seastorm","400601","S","G/S","31-Aug-04",54.526,-166.04,54.5462,-166.0955,58.52,14.63,"382.22","",4.226751777,0.2473
"544",20050101055,3,2005,"Seastorm","400601","S","G/S","05-Sep-05",55.0148,-166.9747,55.0377,-166.9205,67.67,14.26,"365.7","",4.291611395,0.2904
"570",20050101081,3,2005,"Seastorm","400601","S","G/S","18-Sep-05",63.483,-168.0027,63.447,-168.0297,65.84,13.72,"365.7","",4.221746041,0.278
"617",20060101001,3,2006,"Seastorm","400601","S","G/S","16-Aug-06",54.4973,-167.9825,54.4715,-167.941,64.01,15.18,"347.47","Backscatter at 37 fthm. Oceanography-taken on 18-Aug-2006. Note: using plastic 3rd wire lighter. Can see kite mesh at surface",3.926389347,0.2513
"618",20060101002,3,2006,"Seastorm","400601","S","G/S","16-Aug-06",55.0102,-168.0178,54.989,-167.9687,60.35,14.26,"349.3","no backscatter on screen. Oceanography-taken on 18-Aug-06.",3.919667429,0.2366
"620",20060101004,3,2006,"Seastorm","400601","S","G/S","18-Aug-06",54.9883,-165.9667,54.9667,-165.9042,62.18,13.53,"347.47","backscatter at 62 m",4.655767422,0.2895
"621",20060101005,3,2006,"Seastorm","400601","S","G/S","18-Aug-06",54.4932,-165.9795,54.4748,-165.9238,63.09,14.08,"347.47","no scatter layer, some noise near bottom. 2 Hormathidae 33g.",4.139069676,0.2611
"622",20060101006,3,2006,"Seastorm","400601","S","G/S","19-Aug-06",55.0012,-168.9707,55.0117,-168.9128,62.17,14.63,"347.47","no backscatter",3.872407375,0.2407
"623",20060101007,3,2006,"Seastorm","400601","S","G/S","19-Aug-06",55.4987,-168.9785,55.4945,-168.9162,62.18,13.9,"347.47","",3.951785283,0.2457
"641",20060101025,3,2006,"Seastorm","400601","S","G/S","23-Aug-06",59.0242,-167.9987,59.0588,-167.9928,65.11,13.17,"347.47","no backscatter",3.862123982,0.2515
"642",20060101026,3,2006,"Seastorm","400601","S","G/S","23-Aug-06",59.5023,-168.0552,59.5028,-168.1372,64.01,13.9,"347.47","no backscatter",4.627717913,0.2962
"648",20060101032,3,2006,"Seastorm","400601","S","G/S","25-Aug-06",58.506,-169.977,58.5167,-169.9093,64.01,14.63,"347.47","backscatter at @ 15-20 m",4.108114856,0.263
"650",20060101034,3,2006,"Seastorm","400601","S","G/S","25-Aug-06",57.478,-170.0138,57.4412,-170.0032,63.09,14.63,"347.47","backscatter at 0-65 m",4.140803394,0.2612
"652",20060101036,3,2006,"Seastorm","400601","S","G/S","26-Aug-06",56.5028,-170.054,56.5102,-170.1222,62.18,14.63,"347.47","backscatter top 45 m (small amounts)",4.265027262,0.2652
"656",20060101040,3,2006,"Seastorm","400601","S","G/S","27-Aug-06",58.0203,-170.9888,58.0592,-170.982,63.09,14.08,"347.47","backscatter at  20-50 m. small amount of washdown from previous tow (small age 0 pollock) (<1/2 blue basket)",4.343967348,0.2741
"658",20060101042,3,2006,"Seastorm","400601","S","G/S","27-Aug-06",59.0145,-170.9982,59.049,-170.997,64.56,13.72,"347.47","backscatter 10-20 m. half basket of washdown age-0 pollock from previous tow.",3.836845433,0.2477
"659",20060101043,3,2006,"Seastorm","400601","S","G/S","28-Aug-06",59.5162,-170.9963,59.5535,-170.9823,64.01,13.72,"347.47","backscatter 15-25 m. small amounts",4.222009971,0.2703
"662",20060101046,3,2006,"Seastorm","400601","S","G/S","29-Aug-06",58.5152,-171.9585,58.5367,-171.9013,64.56,14.26,"347.47","backscater schools top 35 m",4.091855335,0.2642
"666",20060101050,3,2006,"Seastorm","400601","S","G/S","30-Aug-06",56.5055,-172.017,56.5118,-172.0815,65.11,14.08,"347.47","nothing on backscatter,  1 Hormathidae 12g.",4.0191564,0.2617
"668",20060101052,3,2006,"Seastorm","400601","S","G/S","30-Aug-06",56.9832,-173.0205,56.9545,-172.9845,62.18,15.36,"347.47","backscatter to 20 m (top 10 m due to rough seas?). 5 short tailed albatross at station",3.865958697,0.2404
"671",20060101055,3,2006,"Seastorm","400601","S","G/S","01-Sep-06",60.0022,-172.9562,60.0123,-172.8737,63.09,13.72,"347.47","backscatter 0-30 m. Small schools, last tow leg 1",4.721310996,0.2979
"679",20060101063,3,2006,"Seastorm","400601","S","G/S","05-Sep-06",63.5197,-167.9843,63.5557,-167.9508,82.48,14.26,"320.04","CTD temp 6.6, salin",4.333531501,0.3574
"682",20060101066,3,2006,"Seastorm","400601","S","G/S","06-Sep-06",64.0202,-169.987,64.0573,-169.9863,59.25,13.72,"320.04","ctd temp and salinity",4.125479032,0.2444
"683",20060101067,3,2006,"Seastorm","400601","S","G/S","06-Sep-06",64.0182,-171.0065,64.0502,-171.0332,63.09,14.45,"320.04","ctd  temp and salin. Imm. Im salmon backscatter at surface. AOP backscatter at 30 m.",3.788246494,0.239
"684",20060101068,3,2006,"Seastorm","400601","S","G/S","06-Sep-06",64.0137,-172.0068,64.0368,-172.0573,65.29,14.63,"320.04","some salmon backscatter at surface (2 m). CTD temp and salin.",3.556165045,0.2322
"685",20060101069,3,2006,"Seastorm","400601","S","G/S","07-Sep-06",63.5283,-172.0558,63.5623,-172.1012,64.74,15.36,"320.04","",4.39897239,0.2848
"686",20060101070,3,2006,"Seastorm","400601","S","G/S","07-Sep-06",62.5137,-169.9507,62.5438,-169.8793,64.19,12.98,"320.04","backscatter of age-1 pollock just below sampling depth",4.961420257,0.3185
"689",20060101073,3,2006,"Seastorm","400601","S","G/S","08-Sep-06",63.0172,-168.0392,63.035,-168.111,63.09,14.63,"320.04","",4.126931678,0.2604
"730",20060201009,3,2006,"Northwest Explorer","400601","S","G/S","23-Aug-06",58.516,-166.9988,58.5553,-166.997,64.01,14.63,"347.47","Sand lance escaping through mesh.",4.37121617,0.2798
"732",20060201011,3,2006,"Northwest Explorer","400601","S","G/S","24-Aug-06",58.9962,-165.994,58.9797,-165.9348,51.21,14.63,"347.47","",3.85601192,0.1975
"742",20060201021,3,2006,"Northwest Explorer","400601","S","G/S","26-Aug-06",57.4888,-163.984,57.4555,-163.962,58.53,14.63,"347.47","",3.929499644,0.23
"744",20060201023,3,2006,"Northwest Explorer","400601","S","G/S","27-Aug-06",58.0017,-163.0288,58.0273,-163.0743,58.52,14.63,"347.47","",3.909650636,0.2288
"752",20060201031,3,2006,"Northwest Explorer","400601","S","G/S","28-Aug-06",57.9812,-159.9777,57.9473,-159.9495,65.84,12.8,"347.47","",4.120181312,0.2713
"774",20060201053,3,2006,"Northwest Explorer","400601","S","G/S","05-Sep-06",55.0083,-165.015,55.0052,-165.0622,64.01,12.8,"347.47","no extra species sheet. Fishing against strong current.",3.029531423,0.1939
"778",20070101004,3,2007,"Seastorm","400601","S","G/S","16-Aug-07",57.5238,-160.0027,57.5608,-160.0023,67.66,15.36,"365.7","",4.114288051,0.2784
"780",20070101006,3,2007,"Seastorm","400601","S","G/S","17-Aug-07",58.004,-161.0435,58.0038,-161.1232,67.66,15.54,"365.7","",4.695817532,0.3177
"788",20070101014,3,2007,"Seastorm","400601","S","G/S","19-Aug-07",57.494,-163.0213,57.4782,-163.0812,65.83,16.09,"365.7","",3.987944647,0.2625
"789",20070101015,3,2007,"Seastorm","400601","S","G/S","19-Aug-07",58.0025,-162.9867,58.0083,-162.9342,65.83,17.19,"365.7","",3.159587299,0.208
"793",20070101019,3,2007,"Seastorm","400601","S","G/S","22-Aug-07",54.5035,-166.0193,54.5555,-166.0315,67.66,14.63,"365.7","",5.835485462,0.3948
"794",20070101020,3,2007,"Seastorm","400601","S","G/S","22-Aug-07",54.989,-165.9672,54.9925,-165.9085,64.92,15.54,"365.7","",3.764853303,0.2444
"795",20070101021,3,2007,"Seastorm","400601","S","G/S","23-Aug-07",55.029,-164.9723,55.0672,-164.9332,65.83,15.54,"365.7","",4.924069268,0.3242
"835",20070101061,3,2007,"Seastorm","400601","S","G/S","06-Sep-07",56.0187,-168.0048,56.0542,-168.0187,65.83,16.45,"365.7","NO 333 SAMPLE Autofire not working. Attempted 3 casts and bottles did not initially fire and then fired on deck as unit was turned on. Bottom of cod-end for bongo 333 broke off during cast due to rough weather. Oceanography done at end of tow",4.040763602,0.266
"849",20070101075,3,2007,"Seastorm","400601","S","G/S","14-Sep-07",55.4965,-169.0407,55.495,-169.1017,67.66,15.54,"365.7","",3.845910518,0.2602
"850",20070101076,3,2007,"Seastorm","400601","S","G/S","15-Sep-07",55.5268,-170.017,55.57,-170.0143,65.83,16.45,"365.7","",4.80663003,0.3164
"885",20070101111,3,2007,"Seastorm","400601","S","G/S","28-Sep-07",61.5078,-170.054,61.5177,-170.1273,65.1,14.44,"365.7","",4.040392089,0.263
"904",20070101130,3,2007,"Seastorm","400601","S","G/S","07-Oct-07",57.9837,-171.0263,57.9542,-171.069,67.66,16.27,"365.7","WIND, Going Dark, Set @ Dusk, Fished During Dark.",4.135417955,0.2798
"908",20070101134,3,2007,"Seastorm","400601","S","G/S","08-Oct-07",56.9813,-172.0062,56.9477,-172.0033,65.1,15.17,"365.7","Sun Setting, WATER HAUL",3.740288953,0.2435
"910",20070101136,3,2007,"Seastorm","400601","S","G/S","08-Oct-07",56.0102,-171.0368,56.0302,-171.099,64.55,14.99,"365.7","LAST HAUL",4.459615145,0.2879
"911",20070302003,3,2007,"Oscar Dyson","300","S","G/S","05-Sep-07",70.0427,-167.861,70.0575,-167.7598,55,12,"305","Net touched bottom on haul back",4.177311653,0.2298
"920",20070302018,3,2007,"Oscar Dyson","300","S","G/S","08-Sep-07",69.0053,-167.8762,69.0013,-167.7718,56,13,"330","",4.183298099,0.2343
"923",20070302023,3,2007,"Oscar Dyson","300","S","G/S","09-Sep-07",68.0403,-167.115,68.0475,-167.2295,50,12,"360","",4.82723749,0.2414
"936",20070302041,3,2007,"Oscar Dyson","300","S","G/S","13-Sep-07",65.0457,-169.7643,65.0827,-169.7968,55,13,"360","3m headrope vert spread",4.387273056,0.2413
"942",20070302050,3,2007,"Oscar Dyson","300","S","G/S","15-Sep-07",64.4998,-170.0377,64.4977,-170.1157,55,12,"360","Distance 4.2 Km",3.741381118,0.2058
"970",20080306020,3,2008,"Oscar Dyson","400601","S","G/S","20-Sep-08",57.9558,-164.9483,57.9307,-164.8908,59,11,"360","Fog",4.393821014,0.2592
"990",20090305004,3,2009,"Oscar Dyson","400601","S","G/S","04-Sep-09",55.4993,-162.9973,55.5227,-163.046,56,15.1,"240","Start fishing @ 200m warp out. Could not see buoys because of fog. ITI shows surface. Many larval sandlance in the intermediate, none in cod end.",4.021530367,0.2252
"995",20090305011,3,2009,"Oscar Dyson","400601","S","G/S","06-Sep-09",57.5088,-160.976,57.5215,-160.9285,56,15.1,"200","",3.168783533,0.1775
"1000",20090305020,3,2009,"Oscar Dyson","400601","S","G/S","08-Sep-09",57.0053,-163.0485,56.9987,-163.1038,56,15.1,"186","warp 177-195",3.428325087,0.192
"1007",20090305029,3,2009,"Oscar Dyson","400601","S","G/S","10-Sep-09",57.4982,-167.0123,57.4738,-166.992,56,15.1,"180","Codend spilled on deck, mostly jellyfish.",2.972089029,0.1664
"1015",20090305041,3,2009,"Oscar Dyson","400601","S","G/S","13-Sep-09",55.9712,-167.0388,55.9542,-167.091,56,15.1,"170","warp 160-180",3.758811461,0.2105
"1016",20090305043,3,2009,"Oscar Dyson","400601","S","G/S","13-Sep-09",55.4738,-167.0405,55.4778,-166.9917,56,15.1,"195","",3.10738737,0.174
"1017",20090305045,3,2009,"Oscar Dyson","400601","S","G/S","14-Sep-09",54.9907,-167.0612,54.9703,-167.0368,56,15.1,"180","",2.75130447,0.1541
"1022",20090305052,3,2009,"Oscar Dyson","400601","S","G/S","20-Sep-09",58.0247,-169.0187,57.994,-169.0072,56,15.1,"180","doors eased out, didn't sink, used higher speed",3.480261598,0.1949
"1033",20090305071,3,2009,"Oscar Dyson","400601","S","G/S","24-Sep-09",57.9752,-172.9998,57.944,-172.9798,56,15.1,"180","swell made doors pop a few times, but floats stayed up",3.664413193,0.2052
"1035",20090305073,3,2009,"Oscar Dyson","400601","S","G/S","25-Sep-09",57.0202,-173.0708,57.0457,-173.1217,56,15.1,"187","",4.186322649,0.2344
"1040",20090305080,3,2009,"Oscar Dyson","400601","S","G/S","27-Sep-09",56.0083,-169.0943,56.019,-169.1523,56,15.1,"180","",3.796394563,0.2126
"1043",20090501004,3,2009,"Epic Explorer","400601","S","G/S","01-Sep-09",60.5008,-169.9603,60.5122,-169.9043,59,25,"274","2m sensor",3.317409041,0.1957
"1044",20090501005,3,2009,"Epic Explorer","400601","S","G/S","02-Sep-09",60.5067,-168.9532,60.5245,-168.8875,58,22,"265","headrope at 3m",4.104438828,0.2381
"1057",20090501021,3,2009,"Epic Explorer","400601","S","G/S","06-Sep-09",61.9993,-169.0475,61.999,-169.1213,57,24,"246","headrope 2m",3.852828458,0.2196
"1058",20090501022,3,2009,"Epic Explorer","400601","S","G/S","06-Sep-09",62.0012,-170.0448,62.0005,-170.1148,57,22,"246","thermocline 22 m, headrope 2m, minilog 2.5",3.654932374,0.2083
"1060",20090501025,3,2009,"Epic Explorer","400601","S","G/S","06-Sep-09",62.4877,-171.0268,62.4575,-171.0422,58,23,"246","thermocline and acoustic layer 23-26m; rpm 1090",3.450092555,0.2001
"1061",20090501026,3,2009,"Epic Explorer","400601","S","G/S","07-Sep-09",62.479,-170.0212,62.4477,-170.0257,58,23,"265","headrope 2m",3.488086255,0.2023
"1063",20090501029,3,2009,"Epic Explorer","400601","S","G/S","07-Sep-09",62.4812,-167.9775,62.4495,-167.9557,56,23,"265","thermocline and acoustic layer 17-20m; footrope 5m off bottom, headrope 2m",3.698724637,0.2071
"1079",20090501045,3,2009,"Epic Explorer","400601","S","G/S","12-Sep-09",63.9785,-169.0183,63.9467,-169.0183,56.24,22,"265","dawn; week thermo 12-20 minimal acoustic layer; footrope 8m from bottom, headrope 2m",3.53600427,0.1989
"1080",20090501046,3,2009,"Epic Explorer","400601","S","G/S","12-Sep-09",63.9873,-170.042,63.9598,-170.0687,56.24,24,"246","thermo and acoustic layer 8-10m",3.32379428,0.1869
"1081",20090501047,3,2009,"Epic Explorer","400601","S","G/S","13-Sep-09",64.0602,-171.3567,64.0307,-171.3845,56.24,21,"265","moved station slightly to west to find better bottom (hard bottom); ran north and trawl down to station to ensure bottom track was good; thermo and acoustic layer 15-17m",3.548296955,0.1996
"1082",20090501048,3,2009,"Epic Explorer","400601","S","G/S","13-Sep-09",62.4762,-172.0157,62.443,-172.0128,58,24,"265","footrope 22m off bottom; thermo and acoustic layer 27-28m, headrope 2m",3.694687113,0.2143
"1092",20100304008,3,2010,"Oscar Dyson","400601","S","G/S","20-Aug-10",54.9467,-164.96,54.919,-164.9238,55.29,15.1,"180","",3.851679089,0.213
"1104",20100304023,3,2010,"Oscar Dyson","400601","S","G/S","24-Aug-10",58.0092,-161.038,58.0282,-161.1057,55.29,15.1,"180","",4.512260293,0.2495
"1111",20100304032,3,2010,"Oscar Dyson","400601","S","G/S","26-Aug-10",57.9693,-163.0123,57.938,-163.0448,55.29,15.1,"180","",3.973678693,0.2197
"1112",20100304034,3,2010,"Oscar Dyson","400601","S","G/S","27-Aug-10",58.5073,-163.0265,58.4912,-163.081,55.29,15.1,"180","",3.637519451,0.2011
"1113",20100304035,3,2010,"Oscar Dyson","400601","S","G/S","27-Aug-10",59.0078,-164.01,59.0003,-164.0303,55.29,15.1,"180","Haul back due to whale directly in front of boat. 11 min set - multiply catch by 3. < 0806 humpback -  check acoustics",1.430649371,0.0791
"1114",20100304036,3,2010,"Oscar Dyson","400601","S","G/S","27-Aug-10",58.4902,-164.0183,58.4678,-164.05,55.29,15.1,"180","",3.098391079,0.1713
"1115",20100304038,3,2010,"Oscar Dyson","400601","S","G/S","28-Aug-10",57.9832,-164.0355,57.939,-164.0798,55.29,15.1,"180","",5.566348625,0.3078
"1119",20100304042,3,2010,"Oscar Dyson","400601","S","G/S","29-Aug-10",57.0283,-164.9777,57.0615,-165.0103,55.29,15.1,"180","",4.185321667,0.2314
